id,name,description,category
1,Apple iPhone 14,Smartphone with A15 chip,Electronics
2,Samsung Galaxy S23,High-end Android smartphone,Electronics
3,Sony Headphones WH1000XM4,Noise-cancelling headphones,Audio
4,Apple MacBook Pro,Laptop with M1 chip,Computers
5,Dell XPS 13,Compact ultrabook laptop,Computers
6,Logitech MX Master 3,Wireless ergonomic mouse,Accessories
7,Amazon Echo Dot,Smart speaker with Alexa,Home
8,Google Nest Hub,Smart display with Google Assistant,Home
9,Fitbit Charge 5,Advanced fitness tracker,Health
10,Kindle Paperwhite,E-reader with adjustable light,Books